date	mode	logs_measured	logs_promoted	insights_created	model_files_changed	notes
2026-04-07	manual	29	3	3	2	first cycle: POE discovery / self-diagnostic framework / progressive scaffolding
2026-04-07	auto	0	0	0	0	baseline-advance after folder consolidation (no substantive log changes)
2026-04-14	manual	6	2	1	3	targets: 6 logs (date:2026-04-07); tool: rendering-strategy-workshop (P2=5); insight: argumentation-based-learning (4-log cross-pattern); _meta.ts+index.mdx+updates.ts updated
2026-05-19	auto	4	2	0	3	auto-sync: 4 logs evaluated; promoted coaching-squad-training-loop (20/20) and crew-autonomy (17/20); 3 marker sections added to progressive-scaffolding, learning-analytics, clean-language-mentoring; skipped android-participatory (11), writing-sessions (14)
2026-05-26	manual	1	1	1	2	target: react-payments-555prs-analysis (quality 24/25 A; promo 20/20); tool: mission-repo-analysis-workflow (P2=5); insight: mission-learning-accumulation (P3=5) + marker on argumentation-based-learning; marker sections on design-patterns/catalog (pattern 9) and curriculum/design-principles
2026-06-09	auto	5	2	0	1	auto-sync: 5 logs evaluated; promoted react-payments-555prs-analysis (20/20, already synced) and posuta-coach-qa-archive (16/20); 1 marker section added to argumentation-based-learning (posuta non-formal Q&A evidence); skipped android-level2-mini-project (8), posuta-archive (13), thanks-feedback-workshop (13)
2026-06-16	manual	38	4	1	1	full cycle: retrospective-design cluster (demo-day 19 + level3-retro 16 + drama-retro 16 + growth-graph 15); new insight retrospective-design + tool retrospective-format-kit (MDX+_meta committed by concurrent session 6ecc25c/097cfab) + design-pattern 10; avg quality 21.1/25 (A24 B12 C2); 21 logs 승격가능 but most re-validate existing insights; Phase2 skipped (expedition/android-participatory data-missing, no fabrication); NOTE: concurrent multi-session race observed on branch
2026-06-23	auto	21	0	0	0	auto cycle (A): 21 logs re-evaluated; 11 scored >=16 (react-payments 20, coaching-squad 19, async-quiz/fe-performance/growth-graph/demo-day 18, fe-level2 17, fe-rendering/level3-retro/ux-research/senior-code-review 16) but ALL already integrated into existing insights/tools (verified); 0 new insights, 0 model files; pointer already advanced to 30a367b by concurrent session (backlog cleared, 0 logs since); same set already promoted in 2026-06-16 manual cycle; deferred coaching-squad dedicated-insight to needsHumanReview
2026-06-24	auto	5	3	0	1	auto cycle: 5 logs since 30a367b (3 new FE 8기 PR-analysis lotto/movie-review/ts-learning conditional 12~14; 2 modified drama-onboarding/mission-design = tool back-links only). 3 new logs augmented into insights/mission-learning-accumulation as 근거 로그 (8기 미션 3종 재확인 marker, committed in HEAD). 0 new insight files. ts-learning → needsHumanReview (dedicated 메타학습/AI-as-learning-tool insight). NOTE: heavy concurrent multi-session race; pointer thrashed & HEAD diverged; this run finalized the pointer to HEAD ff4a7a5

