repo_name	tier	d1	d2	d3	d4	d5	total	is_mission	last_scanned	notes_path
Branding	T0	-	-	-	-	-	-	?	-	.research/repos/Branding.md
NewsLetter	T0	-	-	-	-	-	-	?	-	.research/repos/NewsLetter.md
a11y-airline	T0	-	-	-	-	-	-	?	-	.research/repos/a11y-airline.md
android-di	T1	3	4	3	3	4	17	true	2026-04-07T0839Z	.research/repos/android-di.md
android-movie-theater	T0	-	-	-	-	-	-	?	-	.research/repos/android-movie-theater.md
android-movie-ticket	T0	-	-	-	-	-	-	?	-	.research/repos/android-movie-ticket.md
android-paint	T0	-	-	-	-	-	-	true	-	.research/repos/android-paint.md
android-payments	T1	3	2	3	3	3	14	true	2026-04-07T0800Z	.research/repos/android-payments.md
android-shopping-cart	T1	2	3	4	3	3	15	true	2026-04-07T0900Z	.research/repos/android-shopping-cart.md
android-shopping-cart-compose	T0	-	-	-	-	-	-	?	-	.research/repos/android-shopping-cart-compose.md
android-shopping-order	T0	-	-	-	-	-	-	?	-	.research/repos/android-shopping-order.md
android-signup	T1	3	2	3	3	3	14	true	2026-04-07T0811Z	.research/repos/android-signup.md
atdd-sbuway-frontend	T0	-	-	-	-	-	-	?	-	.research/repos/atdd-sbuway-frontend.md
atdd-subway-admin-frontend	T0	-	-	-	-	-	-	?	-	.research/repos/atdd-subway-admin-frontend.md
atdd-subway-fare	T0	-	-	-	-	-	-	?	-	.research/repos/atdd-subway-fare.md
atdd-subway-favorite	T0	-	-	-	-	-	-	?	-	.research/repos/atdd-subway-favorite.md
atdd-subway-map	T1	3	4	3	3	3	16	true	2026-04-07T0900Z	.research/repos/atdd-subway-map.md
atdd-subway-path	T0	-	-	-	-	-	-	?	-	.research/repos/atdd-subway-path.md
back-end-roadmap	T0	-	-	-	-	-	-	?	-	.research/repos/back-end-roadmap.md
be-optional-rebuild	T0	-	-	-	-	-	-	?	-	.research/repos/be-optional-rebuild.md
compose-kanban-board-create	T0	-	-	-	-	-	-	?	-	.research/repos/compose-kanban-board-create.md
compose-kanban-board-manage	T0	-	-	-	-	-	-	?	-	.research/repos/compose-kanban-board-manage.md
compose-kanban-board-task	T0	-	-	-	-	-	-	?	-	.research/repos/compose-kanban-board-task.md
crew-apps	T0	-	-	-	-	-	-	?	-	.research/repos/crew-apps.md
database-basic-1	T0	-	-	-	-	-	-	?	-	.research/repos/database-basic-1.md
event-todos	T0	-	-	-	-	-	-	?	-	.research/repos/event-todos.md
fe-code-lab	T0	-	-	-	-	-	-	?	-	.research/repos/fe-code-lab.md
fe-faq-archive	T0	-	-	-	-	-	-	?	-	.research/repos/fe-faq-archive.md
fe-library	T0	-	-	-	-	-	-	?	-	.research/repos/fe-library.md
front-end-roadmap	T0	-	-	-	-	-	-	?	-	.research/repos/front-end-roadmap.md
frontend	T0	-	-	-	-	-	-	?	-	.research/repos/frontend.md
frontend-auth-example	T0	-	-	-	-	-	-	?	-	.research/repos/frontend-auth-example.md
frontend-rendering	T0	-	-	-	-	-	-	?	-	.research/repos/frontend-rendering.md
gemini-canvas-mission	T0	-	-	-	-	-	-	?	-	.research/repos/gemini-canvas-mission.md
gugu	T0	-	-	-	-	-	-	?	-	.research/repos/gugu.md
guidebook	T0	-	-	-	-	-	-	?	-	.research/repos/guidebook.md
happypeople	T0	-	-	-	-	-	-	?	-	.research/repos/happypeople.md
html	T0	-	-	-	-	-	-	?	-	.research/repos/html.md
html-apple-store	T0	-	-	-	-	-	-	?	-	.research/repos/html-apple-store.md
infra-architecture-4	T0	-	-	-	-	-	-	?	-	.research/repos/infra-architecture-4.md
infra-deploy-book	T0	-	-	-	-	-	-	?	-	.research/repos/infra-deploy-book.md
java-aop	T0	-	-	-	-	-	-	true	-	.research/repos/java-aop.md
java-attendance	T1	3	4	3	3	4	17	true	2026-04-07T0833Z	.research/repos/java-attendance.md
java-baseball-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/java-baseball-precourse.md
java-blackjack	T2	2	5	4	4	5	20	true	2026-04-07T00:00Z	.research/repos/java-blackjack.md
java-blackjack-precourse	T0	-	-	-	-	-	-	?	-	.research/repos/java-blackjack-precourse.md
